111	113	113	113	113	112	114	114	114	113	113	113
113	113	113	113	114	114	113	113	114	113	113	114
113	113	113	113	113	113	113	114	114	114	112	114
113	113	113	113	113	114	113	113	113	114	113	114
114	114	114	113	114	114	114	114	113	113	114	114
114	114	114	113	115	114	114	114	114	115	114	115
114	115	114	114	114	114	114	115	115	115	115	114
115	115	114	113	115	114	114	115	115	114	114	115
114	114	114	114	114	114	114	115	116	114	115	116
113	114	114	114	114	113	113	115	115	115	115	115
114	114	114	114	113	115	114	112	115	115	116	116
113	114	113	114	114	114	114	114	115	115	115	115
